product_id,category,price
1,Groceries,3175
2,Electronics,387
3,Books,1946
4,Clothing,8903
5,Home,6964
6,Clothing,6410
7,Groceries,4495
8,Groceries,3168
9,Electronics,3316
10,Sports,4193
11,Clothing,4503
12,Groceries,7018
13,Sports,1354
14,Books,6422
15,Clothing,8034
16,Clothing,5084
17,Home,2357
18,Clothing,4059
19,Books,5072
20,Home,8837
21,Sports,4229
22,Sports,6772
23,Sports,4630
24,Beauty,6017
25,Electronics,4439
26,Toys,6741
27,Home,7606
28,Books,4310
29,Sports,2243
30,Electronics,932
31,Clothing,9350
32,Groceries,6527
33,Beauty,2544
34,Clothing,1228
35,Books,2886
36,Sports,7701
37,Books,5363
38,Home,8550
39,Clothing,3310
40,Electronics,3133
41,Toys,2040
42,Groceries,6895
43,Clothing,1843
44,Groceries,5528
45,Groceries,6983
46,Home,6904
47,Clothing,8523
48,Books,313
49,Clothing,1711
50,Sports,1251
51,Home,159
52,Toys,4840
53,Toys,6791
54,Clothing,6108
55,Clothing,7401
56,Beauty,1452
57,Clothing,3831
58,Home,1149
59,Clothing,3720
60,Books,2664
61,Sports,4396
62,Groceries,8340
63,Groceries,4067
64,Beauty,271
65,Home,4410
66,Groceries,579
67,Groceries,3805
68,Clothing,4334
69,Sports,8013
70,Electronics,2122
71,Clothing,1446
72,Electronics,3893
73,Sports,2224
74,Beauty,4252
75,Clothing,3328
76,Clothing,2922
77,Beauty,4822
78,Sports,3423
79,Books,2168
80,Clothing,8651
81,Beauty,4060
82,Toys,2650
83,Electronics,4878
84,Books,3680
85,Sports,699
86,Electronics,1704
87,Sports,8714
88,Clothing,5987
89,Home,8511
90,Toys,6219
91,Books,7212
92,Beauty,9170
93,Electronics,8925
94,Electronics,6508
95,Electronics,1248
96,Books,3922
97,Sports,9096
98,Home,4578
99,Sports,5608
100,Groceries,3112
101,Beauty,9010
102,Clothing,2270
103,Home,7712
104,Toys,9856
105,Clothing,2073
106,Beauty,423
107,Groceries,3021
108,Sports,4293
109,Electronics,221
110,Books,8197
111,Beauty,9113
112,Groceries,667
113,Home,8376
114,Electronics,3424
115,Toys,5289
116,Home,9732
117,Beauty,4342
118,Electronics,9397
119,Toys,3819
120,Beauty,6633
121,Clothing,7370
122,Sports,9683
123,Beauty,3890
124,Home,7311
125,Groceries,105
126,Electronics,877
127,Books,6188
128,Books,8133
129,Groceries,1190
130,Books,3450
131,Books,831
132,Books,760
133,Beauty,6180
134,Books,5314
135,Toys,8214
136,Electronics,1225
137,Beauty,2707
