customer_id,customer_city,region
1,Hyderabad,South
2,Kolkata,West
3,Chennai,South
4,Hyderabad,East
5,Bangalore,North
6,Ahmedabad,North
7,Chennai,South
8,Chennai,South
9,Hyderabad,East
10,Mumbai,South
11,Bangalore,South
12,Hyderabad,North
13,Bangalore,South
14,Bangalore,West
15,Ahmedabad,North
16,Chennai,South
17,Kolkata,West
18,Ahmedabad,East
19,Ahmedabad,South
20,Bangalore,South
21,Pune,East
22,Chennai,West
23,Mumbai,West
24,Ahmedabad,West
25,Kolkata,West
26,Pune,East
27,Pune,West
28,Mumbai,East
29,Ahmedabad,West
30,Kolkata,East
31,Chennai,West
32,Delhi,East
33,Kolkata,South
34,Mumbai,West
35,Pune,West
36,Chennai,East
37,Kolkata,South
38,Delhi,South
39,Delhi,East
40,Bangalore,North
41,Bangalore,West
42,Hyderabad,West
43,Mumbai,South
44,Ahmedabad,West
45,Kolkata,North
46,Kolkata,East
47,Ahmedabad,East
48,Hyderabad,East
49,Pune,West
50,Pune,South
51,Hyderabad,North
52,Pune,South
53,Bangalore,East
54,Kolkata,North
55,Hyderabad,West
56,Kolkata,North
57,Ahmedabad,West
58,Delhi,East
59,Bangalore,East
60,Chennai,East
61,Bangalore,South
62,Hyderabad,North
63,Chennai,North
64,Delhi,North
65,Hyderabad,West
66,Mumbai,South
67,Kolkata,South
68,Delhi,South
69,Kolkata,South
70,Pune,South
71,Mumbai,West
72,Mumbai,North
73,Delhi,South
74,Mumbai,East
75,Chennai,East
76,Mumbai,East
77,Kolkata,North
78,Kolkata,East
79,Hyderabad,West
80,Kolkata,West
81,Hyderabad,North
82,Kolkata,West
83,Chennai,West
84,Ahmedabad,West
85,Hyderabad,East
86,Bangalore,South
87,Pune,East
88,Delhi,East
89,Kolkata,West
90,Mumbai,West
91,Ahmedabad,West
92,Kolkata,North
93,Mumbai,North
94,Pune,South
95,Pune,East
96,Pune,East
97,Mumbai,West
98,Kolkata,West
99,Pune,East
100,Chennai,South
101,Hyderabad,South
102,Mumbai,South
103,Mumbai,North
104,Kolkata,North
105,Mumbai,West
106,Mumbai,South
107,Pune,North
108,Kolkata,North
109,Pune,West
110,Hyderabad,South
111,Ahmedabad,North
112,Hyderabad,West
113,Ahmedabad,North
114,Pune,South
115,Hyderabad,South
116,Kolkata,South
117,Delhi,East
118,Pune,South
119,Ahmedabad,East
120,Chennai,West
121,Ahmedabad,West
122,Chennai,North
123,Mumbai,West
124,Hyderabad,East
125,Chennai,South
126,Ahmedabad,West
127,Mumbai,North
128,Delhi,West
129,Kolkata,South
130,Kolkata,North
131,Kolkata,North
132,Chennai,West
133,Delhi,North
134,Chennai,East
135,Hyderabad,South
136,Chennai,East
137,Delhi,South
138,Delhi,North
139,Hyderabad,West
140,Delhi,East
141,Ahmedabad,East
142,Delhi,East
143,Kolkata,North
144,Ahmedabad,West
145,Ahmedabad,North
146,Hyderabad,South
147,Bangalore,South
148,Bangalore,West
149,Delhi,South
150,Ahmedabad,North
151,Bangalore,North
152,Bangalore,East
153,Delhi,West
154,Bangalore,North
155,Chennai,East
156,Mumbai,East
157,Hyderabad,East
158,Mumbai,North
159,Delhi,South
160,Kolkata,West
161,Hyderabad,West
162,Delhi,West
163,Ahmedabad,East
164,Kolkata,North
165,Mumbai,South
166,Delhi,North
167,Ahmedabad,West
168,Hyderabad,North
169,Hyderabad,South
170,Pune,West
171,Ahmedabad,East
172,Chennai,West
173,Bangalore,East
174,Kolkata,East
175,Ahmedabad,South
176,Pune,West
177,Bangalore,South
178,Bangalore,North
179,Delhi,South
180,Bangalore,West
181,Chennai,South
182,Hyderabad,West
183,Pune,South
184,Bangalore,East
185,Delhi,North
186,Chennai,North
187,Mumbai,West
188,Hyderabad,West
189,Hyderabad,West
190,Pune,South
191,Hyderabad,North
192,Bangalore,North
193,Delhi,North
194,Hyderabad,North
195,Hyderabad,North
196,Mumbai,West
197,Mumbai,East
198,Kolkata,West
199,Chennai,North
200,Bangalore,South
201,Hyderabad,West
202,Ahmedabad,East
203,Hyderabad,North
204,Delhi,South
205,Kolkata,East
206,Chennai,East
207,Ahmedabad,East
208,Kolkata,North
209,Pune,South
210,Chennai,West
211,Hyderabad,North
212,Hyderabad,North
213,Chennai,South
214,Hyderabad,North
215,Bangalore,West
216,Chennai,West
217,Kolkata,West
218,Chennai,West
219,Ahmedabad,West
220,Hyderabad,North
221,Bangalore,South
222,Bangalore,East
223,Pune,West
224,Kolkata,East
225,Mumbai,West
226,Mumbai,West
227,Chennai,West
228,Pune,East
229,Delhi,North
230,Chennai,North
231,Pune,West
232,Kolkata,West
233,Kolkata,West
234,Kolkata,South
235,Kolkata,North
236,Kolkata,West
237,Pune,West
238,Pune,West
239,Bangalore,South
240,Ahmedabad,West
241,Mumbai,East
242,Hyderabad,South
243,Kolkata,East
244,Delhi,East
245,Hyderabad,North
246,Pune,North
247,Delhi,West
248,Delhi,East
249,Delhi,East
250,Bangalore,West
251,Pune,West
252,Delhi,South
253,Kolkata,West
254,Chennai,West
255,Delhi,South
256,Bangalore,North
257,Hyderabad,East
258,Pune,North
259,Ahmedabad,South
260,Bangalore,North
261,Delhi,East
262,Pune,East
263,Chennai,East
264,Delhi,West
265,Bangalore,East
266,Mumbai,West
267,Kolkata,West
268,Ahmedabad,West
269,Hyderabad,East
270,Bangalore,South
271,Pune,North
272,Ahmedabad,West
273,Ahmedabad,North
274,Ahmedabad,West
275,Delhi,North
276,Kolkata,West
277,Delhi,West
278,Pune,West
279,Delhi,West
280,Mumbai,South
281,Kolkata,West
282,Kolkata,South
283,Pune,West
284,Hyderabad,West
285,Mumbai,North
286,Bangalore,North
287,Delhi,South
288,Chennai,West
289,Delhi,West
290,Ahmedabad,North
291,Delhi,West
292,Bangalore,North
293,Delhi,West
294,Mumbai,East
295,Mumbai,South
296,Kolkata,West
297,Pune,North
298,Hyderabad,South
299,Chennai,North
